,OPERA,MES,TIPOVUELO,SIGLADES,DIANOM,atraso_15
13375,Sky Airline,3,N,Antofagasta,Viernes,0
35799,Grupo LATAM,7,N,Concepcion,Jueves,0
48176,Grupo LATAM,9,N,Arica,Miercoles,0
58675,Grupo LATAM,11,N,Iquique,Viernes,0
23374,Sky Airline,5,N,Valdivia,Lunes,0
27666,Aerolineas Argentinas,6,I,Buenos Aires,Domingo,0
850,Qantas Airways,1,I,Sydney,Domingo,1
53131,Grupo LATAM,10,N,Puerto Montt,Miercoles,0
23976,Sky Airline,5,N,Iquique,Sabado,0
44265,Aeromexico,9,I,Ciudad de Mexico,Viernes,0
14706,Grupo LATAM,3,N,Concepcion,Jueves,0
51052,Sky Airline,10,N,Valdivia,Domingo,0
44178,Air Canada,9,I,Buenos Aires,Sabado,0
3469,Grupo LATAM,1,N,Concepcion,Lunes,0
5188,Grupo LATAM,1,I,Los Angeles,Sabado,0
7713,Sky Airline,2,N,Calama,Domingo,0
19942,Grupo LATAM,4,N,Concepcion,Miercoles,0
59140,Grupo LATAM,11,N,Temuco,Domingo,0
65109,Grupo LATAM,12,N,Arica,Viernes,0
52993,Grupo LATAM,10,N,Temuco,Martes,0
52832,Grupo LATAM,10,N,Concepcion,Martes,0
59452,Grupo LATAM,11,N,Punta Arenas,Viernes,0
52505,Grupo LATAM,10,N,Calama,Lunes,0
8514,Grupo LATAM,2,N,Punta Arenas,Domingo,0
35633,Grupo LATAM,7,N,Concepcion,Martes,1
26720,Grupo LATAM,5,I,Los Angeles,Viernes,0
47543,Grupo LATAM,9,N,Balmaceda,Sabado,0
51589,Sky Airline,10,N,Antofagasta,Domingo,0
51313,Sky Airline,10,N,Copiapo,Martes,0
55994,Aerolineas Argentinas,11,I,Buenos Aires,Domingo,0
43581,Grupo LATAM,8,I,Auckland N.Z.,Viernes,0
66658,Grupo LATAM,12,I,Cordoba,Domingo,0
10386,Grupo LATAM,2,N,Arica,Domingo,0
22306,Aeromexico,5,I,Ciudad de Mexico,Jueves,0
11451,Grupo LATAM,2,I,Lima,Jueves,0
